CMDLINE python ./analytickit/crypto/txn_anz.py
MEM 4.125000 1694611726.1566
MEM 24.156250 1694611726.2571
MEM 34.363281 1694611726.3575
MEM 41.863281 1694611726.4587
MEM 54.113281 1694611726.5594
MEM 66.488281 1694611726.6603
MEM 76.296875 1694611726.7608
MEM 89.546875 1694611726.8616
MEM 106.671875 1694611726.9626
MEM 110.046875 1694611727.0636
MEM 118.234375 1694611727.1651
MEM 118.484375 1694611727.2667
MEM 119.609375 1694611727.3672
MEM 119.984375 1694611727.4678
MEM 119.984375 1694611727.5686
MEM 120.859375 1694611727.6695
MEM 120.859375 1694611727.7701
MEM 120.859375 1694611727.8707
MEM 120.859375 1694611727.9709
MEM 120.859375 1694611728.0717
MEM 121.234375 1694611728.1719
MEM 123.570312 1694611728.2722
MEM 123.660156 1694611728.3724
MEM 123.992188 1694611728.4734
MEM 124.058594 1694611728.5737
MEM 124.183594 1694611728.6740
MEM 124.308594 1694611728.7745
MEM 124.433594 1694611728.8748
MEM 124.558594 1694611728.9751
MEM 124.683594 1694611729.0772
MEM 124.683594 1694611729.1775
MEM 124.933594 1694611729.2782
MEM 124.933594 1694611729.3794
MEM 124.933594 1694611729.4798
MEM 125.058594 1694611729.5802
MEM 125.058594 1694611729.6887
MEM 125.058594 1694611729.7894
MEM 125.808594 1694611729.8901
MEM 125.808594 1694611729.9911
MEM 125.808594 1694611730.0917
MEM 125.808594 1694611730.1921
MEM 125.808594 1694611730.2936
MEM 125.808594 1694611730.3949
MEM 125.808594 1694611730.4960
MEM 125.808594 1694611730.5970
MEM 125.808594 1694611730.6989
MEM 125.808594 1694611730.7999
MEM 125.808594 1694611730.9009
MEM 125.808594 1694611731.0063
MEM 125.808594 1694611731.1068
MEM 125.808594 1694611731.2081
MEM 125.808594 1694611731.3098
MEM 125.808594 1694611731.4107
MEM 125.808594 1694611731.5121
MEM 125.808594 1694611731.6139
MEM 125.808594 1694611731.7216
MEM 125.808594 1694611731.8230
MEM 125.808594 1694611731.9237
MEM 125.808594 1694611732.0242
MEM 125.808594 1694611732.1270
MEM 125.808594 1694611732.2283
MEM 125.808594 1694611732.3296
MEM 125.808594 1694611732.4310
MEM 125.808594 1694611732.5323
MEM 125.808594 1694611732.6342
MEM 125.808594 1694611732.7347
MEM 125.808594 1694611732.8357
MEM 125.808594 1694611732.9375
MEM 125.808594 1694611733.0394
MEM 125.808594 1694611733.1405
MEM 125.808594 1694611733.2416
MEM 125.808594 1694611733.3427
MEM 125.808594 1694611733.4437
MEM 125.808594 1694611733.5444
MEM 125.808594 1694611733.6464
MEM 125.808594 1694611733.7495
MEM 125.808594 1694611733.8504
MEM 125.808594 1694611733.9513
MEM 125.808594 1694611734.0522
MEM 125.808594 1694611734.1531
MEM 125.808594 1694611734.2539
